fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
435,9.999,45.177,0.729944264550379,0.8866716868612979,0.2011917095175872,0.030913344611692067,0.18128578840643864,0.20095263162894156,0.1811917382294643,0.7233394393905144,0.46045216639119557
436,9.999,45.243,0.8071424565672292,0.928729293073074,0.16764415794983606,0.029993782226337883,0.14419057646945246,0.17436505643825953,0.12402388756338802,0.8053943395812355,0.41548635283926366
437,9.999,45.309,0.7980039581875437,0.9417524534609956,0.15280820663944567,0.029931256713276698,0.14524379463937506,0.14504906112652033,0.11437058015012096,0.9036880088536221,0.4257768701086557
438,9.999,45.375,0.8215899100298703,0.9268427718140954,0.17817716663751107,0.025634970130650196,0.16682436974467982,0.17166302109014536,0.09871796882623518,0.9660063623842174,0.4634148508242883
439,9.999,45.441,0.8837389041234831,0.9040033823887044,0.228894533861514,0.00819944236789219,0.2182367320915954,0.21655335615710378,0.08085873746689344,1.0,0.5684816249050668
440,9.999,45.507,0.8412722673676412,0.8248960089528468,0.31034361331258914,0.019495415611877124,0.29739630773565084,0.2920696855992263,0.11181606221943712,0.8120445634565808,0.6423053439399439
441,9.999,45.573,0.6625294922741021,0.649018876144216,0.3574238326209389,0.11174891241579855,0.3724908787234115,0.3062149016932137,0.08285123148650562,0.48461590335790317,0.6628880788262292
442,9.999,45.639,0.484238326487683,0.4398232048119647,0.28867894179093195,0.2801330521895826,0.3277827023961331,0.22024654814951955,0.0701329498797695,0.1678770076048714,0.5228924357100347
443,9.999,45.705,0.31430951155727,0.27477128029221237,0.1812780858456731,0.4430617624114594,0.23619169704414722,0.10780470618733234,0.016303071592360885,0.024287427700049682,0.3659313895834826
444,9.999,45.771,0.1717649933151228,0.2041800048822623,0.0968829771907371,0.594122024792101,0.14321667483479267,0.04057185295128328,0.00016256608834835554,0.0005735356805402078,0.24644460984726657
445,9.999,45.837,0.0740553496734898,0.19531807272040455,0.10943330489037913,0.6658506618678555,0.1649053704115506,0.04266253721219661,0.0,0.003114404651679512,0.23466702160172845
446,9.999,45.903,0.0208106273499146,0.16234287769453476,0.08851573110116592,0.7751176049814407,0.13861403715334286,0.029264467436375233,0.00015209476501682503,0.002941901974064908,0.1999997103092289
447,9.999,45.969,0.0092128464835863,0.10722325709983542,0.06363268912915117,0.8494800448651892,0.10146230583709846,0.01923627454012179,0.0,0.0025408689711394743,0.15455356564330963
