fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
135,9.075,45.639,1.5883263298089842,2.6007458563745653,-2.245806926609282,-0.40282448343186916,-1.0824750213043821,0.8065236891876882,1.1386678592236101,-0.7676584092894464
136,9.075,45.705,1.368333485956817,2.714046235225207,-2.594246615026726,0.21553504223021513,-1.082538827567604,5.021138931105577,1.059080853886446,-0.20395198428117345
137,9.075,45.771,1.5275368405374656,3.3029068704926354,-3.3118112011481715,0.5528774189532235,-1.0826006731920357,9.03935687855569,0.28044801958498344,0.06628356512314565
138,9.075,45.837,1.2759037360406462,3.909937955888502,-3.378038957164449,-0.6881223038891382,-1.0826606170092508,9.581977211621759,0.10519150139524519,0.18123442272894114
139,9.075,45.903,0.7287679004424485,4.1376940067894665,-3.15616296251073,-0.8012957239959886,-1.0827187181585458,11.120239489509338,0.397754312476445,0.1267523784982823
140,9.075,45.969,0.4957920053996822,4.313462304262396,-3.072148530667844,-0.7201908183955914,-1.0827750356574906,11.768711453191639,0.6306674393160265,0.08217448328397155
141,9.075,46.035,0.3279576646754238,4.5521187509283205,-3.1522012342975847,-0.6287639531174372,-1.0828296280503964,12.236153696160635,0.8034648076971385,0.07202777860547174
142,9.075,46.101,0.4088530348040771,4.792080404323443,-3.270972504581721,-0.5796964918259153,-1.0828825531232482,12.73012663875594,1.0012569567162037,0.06762046303790252
143,9.141,44.781,0.3361355238981896,1.255928545677894,-0.8170607444260441,-1.562423056050068,-1.0812826519828014,-1.8244990306607995,2.271192243474622,1.0271059337520332
144,9.141,44.847,0.456497776110689,1.308441811795943,-0.8894613528735092,-1.6199318265472324,-1.0814128987860314,-0.18830174654850643,2.2063213838382616,1.0125670820531052
145,9.141,44.913,0.8041561332259504,1.4299185662000335,-1.295320071766129,-1.2280112094595839,-1.0815203628487253,0.05696832341513458,2.073061948357271,0.8205795721392939
146,9.141,44.979,0.81041200983516,1.5173125293273229,-1.4167532184536067,-0.5811799695809636,-1.0816169970482603,-0.0015173811517044764,1.9949011825947591,0.47028168626293554
147,9.141,45.045,1.0451540598814824,1.5854378557229687,-1.4625896830342016,-0.5723030177924828,-1.0817103368699192,0.011612759459463717,1.9633258617978153,0.18649232365186558
148,9.141,45.111,1.2364809709410585,1.6633627294545792,-1.5290414708491715,-0.5599612018991664,-1.081800145126007,0.0640980499554961,1.7982076417423867,0.036467112831223905
149,9.141,45.177,1.421023113232046,1.7643814341712394,-1.6160399922931228,-0.5552175777966848,-1.0818873480946654,0.03885343787850239,1.2438721955882008,-0.11002807755692126
150,9.141,45.243,1.521127816928359,1.9429579266008896,-1.6621423085925717,-0.6188622632806636,-1.0819719572405129,-0.0020250879230146006,0.10786915671296674,-0.310838428109702
151,9.141,45.309,1.6498999661266989,2.1832814219289842,-1.6988100243477975,-0.7256311839386529,-1.0820539982187782,0.2148706626717436,-0.013604068037688866,-0.5095930756677647
152,9.141,45.375,1.7128458523600147,2.528318549244578,-1.7662747703885606,-0.9168081889205131,-1.0821335081301924,-0.18060210162888796,-0.1798353288781364,-0.7874093155975113
153,9.141,45.441,1.7909344939438092,2.854735120758326,-2.3645926176699725,-1.0756250604265372,-1.0822105331792082,-1.5804206844295652,0.17383735115507243,-1.1514319581779513
154,9.141,45.507,1.7105065806918085,2.9322128356276815,-2.6796628069552444,-0.9994824046581621,-1.0822851266855598,0.2408888343662856,0.4563010193638771,-1.3267062823340963
155,9.141,45.573,1.7342077121329746,2.8636310961249443,-2.6837858050953356,-0.7561163959772901,-1.0823573474037034,1.7714218026261015,0.6450381699641491,-1.2540865349860049
156,9.141,45.639,1.605690432228852,2.906103305543631,-2.819886770623136,-0.4998565720771361,-1.0824272581090835,3.6812928321001843,0.6746115274500477,-0.5642179348821786
157,9.141,45.705,1.3842414498245743,3.1917903496248186,-3.4160073404016082,-0.24315163078791302,-1.0824949244147168,7.44007456435609,0.4104865698750849,-0.08135170975001599
158,9.141,45.771,1.4907095882201329,3.7269335759024957,-3.79754094411246,-0.2486223634717279,-1.0825604137857223,8.969668513286955,0.09853423167206851,0.007916869984106317
159,9.141,45.837,1.137266140816121,4.149648034570559,-3.6670090754858866,-0.7185198277130769,-1.0826237947234134,9.876137122389485,0.262166099307361,0.06474755015574028
160,9.141,45.903,0.6663202295109812,4.323818238135506,-3.4352446202220195,-0.8171669547787987,-1.0826851360941196,11.394941991434806,0.6366915722090427,0.04753532216069159
